pays;code;ville;societe;activite;site;email repere;telephone repere;note commerciale;statut
Inde;IN;Jaipur, RIICO Sitapura Extension;Agarwal Toughened Glass India Limited;Transformation de verre trempé et feuilleté;agarwaltuff.com;info@agarwaltoughenedglass.com;+91 72300 43212;Deux unités au Rajasthan, trempe et feuilletage, cibler float. Port Mundra, envoi en anglais. Domaine agarwaltoughenedglass.com introuvable — adresse fournie par ChatGPT, non verifiee.;ADRESSE INVALIDE
Inde;IN;Mandideep, Polaha;Glafix Industries Private Limited;Fabrication de verre trempé et menuiseries PVC;glafixindia.com;info@glafixindia.com;+91 91091 94702;Usine dédiée au verre architectural trempé et siège à Bhopal, cibler float. Port Nhava Sheva, envoi en anglais.;ENVOYE 2026-09-23
Inde;IN;Mansa, Dhameda;Unity Safety Glass;Transformation de verre trempé et isolant;unitysafetyglass.com;info@unitysafetyglass.com;+91 93139 21951;Trempe annoncée à 6000 m² par jour, cibler jumbo et extra-clair. Port Mundra, envoi en anglais.;ENVOYE 2026-09-23
Inde;IN;Mumbai, Prabhadevi;FG Glass;Transformation de verre architectural et de sécurité;fgglass.com;sales@fgglass.com;+91 22 4065 7777;Usine automatisée, capacité jumbo de 3300 x 7000 mm. Port Nhava Sheva, envoi en anglais.;ENVOYE 2026-09-23
Inde;IN;Mumbai;Sejal Glass Ltd;Transformateur cote en bourse : trempe, feuillete, vitrage isolant, miroir;sejalglass.co.in;info@sejalglass.co.in;;SOCIETE COTEE (BSE/NSE) — usine Jhagadia. Copie sales@sejalglass.co.in. Port Nhava Sheva.;ENVOYE 2026-09-23
Inde;IN;Rajkot (Gujarat);Rio Glass Pvt Ltd;Transformateur : trempe, feuillete, insulating, miroir;rioglassindia.com;mail@rioglassindia.com;;GROS TRANSFORMATEUR GUJARAT — port Mundra, proche de l'usine. Envoi en anglais.;ENVOYE 2026-09-23
Inde;IN;Rajkot, Targhadia;Echo Tuff Pvt. Ltd.;Transformation de verre trempé, feuilleté et isolant;echotuff.com;info@echotuff.com;+91 74860 34334;Usine de transformation à Targhadia et bureau à Rajkot, cibler float et Low-E. Port Mundra, envoi en anglais.;ENVOYE 2026-09-23
Indonésie;ID;Cikarang (Bekasi, Jakarta);PT Optima Berkat Sinergi — Optima Glass;Distribution de verre trempe, feuillete et float;optimaglass.co.id;admin@optimaglass.co.id;+62 895 7007 21203;Se presente en centre de distribution du verre trempe a Jakarta. Port Tanjung Priok, envoi en anglais.;ENVOYE 2026-09-25
Indonésie;ID;Jakarta / Tangerang (Jatake);Roxy Glass — PT Roxy Kaca;Trempe, feuillete, double vitrage, verre decoratif depuis 1990;roxyglass.com;sales@roxyglass.com;+62 815 8990 030;FABRICANT DEPUIS 1990, usine a Tangerang et trois points de vente a Jakarta. Port Tanjung Priok. Envoi en indonesien.;ENVOYE 2026-09-24
Indonésie;ID;Jakarta Timur (Rawamangun);PT Karya Bangun Bersama;Distribution de materiaux de construction, verre pour cloisons, portes et fenetres;;kbb@cbn.net.id;+62 21 4074 3830;Distributeur materiaux avec activite verre, Jl. Pemuda 278. Contact Wawan Nasution. Port Tanjung Priok. A qualifier : verifier le volume verre avant envoi.;A QUALIFIER
Indonesie;ID;Jakarta;PT Biru & Sons;Distributeur verre plat;biruindonesia.com;contactus@biruindonesia.com;;Fonde en 1968. Agences Bandung Surabaya Medan. Port Tanjung Priok;ENVOYE 2026-09-25
Indonesie;ID;Surabaya;Surabaya Kaca;Negociant verre plat;;surabayakaca@gmail.com;;Negoce verre Surabaya. Port Tanjung Perak;ENVOYE 2026-09-25
Irak;IQ;—;Rozhano Tempered Glass & Aluminium;Trempe et aluminium, 2006, groupe Dijla (1978);rozhano.com;;;Groupe établi. Paiement à sécuriser, port d'Umm Qasr.;
Irak;IQ;Erbil (Hay Al Adala);Rozhano Tempered Glass & Aluminum;Transformation de verre trempe et aluminium depuis 2006;rozhano.com;rozhano@rozhano.com;+964 750 303 9569;ADOSSE AU GROUPE DIJLA (1978), reference de la transformation en Irak. Port Umm Qasr ou Mersin puis route. Envoi en anglais (region du Kurdistan).;ENVOYE 2026-09-24
Irak;IQ;Erbil;Arturaya Glass Company;Importateur et installateur, 2014;arturaya.com;;;IMPORTATEUR : se fournit déjà à l'étranger.;
Irak;IQ;Erbil;Nawzad NIT Group;Fabrication et distribution aluminium et verre;nitgroup.krd;;+964 750 722 2777;Siège et usine à Erbil, agence à Bagdad, cibler vitrages de façade et miroirs. Pas d adresse publiee : appeler. Port .;A APPELER
Irlande;IE;Dublin;AC Taylor Trading Ltd;Fourniture de verre, large gamme;actaylor.ie;info@actaylor.ie;+353 1 818 2979;Grossiste verrier de Dublin. Port Dublin, envoi en anglais.;ENVOYE 2026-09-25
Irlande;IE;Kinsale (Cork);Cork Glass Centre;Négoce et façonnage de verre;corkglass.ie;info@corkglass.ie;+353 21 431 5036;Unit 3, Kinsale Business Park. PREMIERE REPONSE DE LA CAMPAGNE le 25/09 : accuse de reception d Emma, qui renvoie les commandes vers eric@corkglass.ie. Relancer Eric directement. Port Cork.;A RELANCER — REPONSE RECUE
Irlande;IE;Swords, Co. Dublin;Carlen Glass Merchants Ltd;Negoce de verre coupe-feu, trempe, laque et verre de poele;carlenglass.ie;carlenglass@gmail.com;+353 1 845 2526;NE PAS DEMARCHER SUR CETTE CAMPAGNE : Michael McCormack negocie deja le destockage 8230 m2. Port Dublin.;EN NEGOCIATION
Italie;IT;Borgaro Torinese (Turin);Cilvea S.p.A.;Distribution de verre plat, logistique et conseil;cilvea.it;info@cilvea.it;+39 011 407 8311;DISTRIBUTEUR DE REFERENCE du verre plat en Italie du Nord. Port Genes, envoi en italien.;ENVOYE 2026-09-25
Italie;IT;Caserte et Nord;Savas S.p.A.;Gros de verre plat, partenaire AGC, Saint-Gobain et Pilkington;savas.it;;;Nouvel entrepot de plus de 4000 m2 a Caserte pour le sud de l Italie. Aucune adresse email publiee : a rappeler.;A APPELER
Italie;IT;Gênes;G.B. Vetro;Verrerie et négoce de verre plat;gbvetro.it;info@gbvetro.it;+39 010 651 1741;Sur le port de Genes. Envoi en italien.;ENVOYE 2026-09-25
Italie;IT;Melito di Napoli;Vetro Italia Srl;Négoce et transformation de verre;vetroitaliasrl.it;commerciale@vetroitaliasrl.it;;Via A. Vespucci 28. Port Naples, envoi en italien.;ENVOYE 2026-09-25
Jamaïque;JM;Kingston (Retirement Crescent);Caribbean Glass Co Ltd;Verre plat, imprime, arme, vitrines, vitrage industriel;caribbeanglasscompany.com;caribbeanglasscoltd@gmail.com;+1 876 929 0011;PLUS GROS STOCK DE VERRE PLAT DE JAMAIQUE. Port Kingston. Envoi en anglais. Se presente comme le plus gros stock de verre de Jamaique. Aucune adresse email publiee : a rappeler. Port Kingston.;ENVOYE 2026-09-24
Jordanie;JO;Amman (Abu Alanda);Horizon Glass Processing Co.;Transformation, plus de 30 ans;horizonglasspro.com;info@horizon-jor.com;+962 6 4636193;Ancienneté et volume. Port d'Aqaba.;ENVOYE 2026-09-22
Jordanie;JO;Amman (Al Bayader);First Glass;Fabricant de verre;fgi.jo;info@fgi.jo;;Fabricant local, port d'Aqaba.;ENVOYE 2026-09-23
Jordanie;JO;Amman;Lana International Est.;"Matériaux de construction depuis 1990 ; sert Jordanie, Palestine, Syrie, Irak, Liban, EAU, Arabie, Qatar, Bahreïn, Koweït, Égypte, Algérie";lanaest.com;info@lanaest.com;+962 6 5810 487;NÉGOCIANT RÉGIONAL sur 12 pays : un seul contact, douze marchés.;ENVOYE 2026-09-22
Jordanie;JO;Mafraq (KADDB Industrial Park);Elite Glass;Transformation du verre;eliteglass-ind.com;info@eliteglass-ind.com;;Zone industrielle KADDB, port d'Aqaba.;ENVOYE 2026-09-23
Jordanie;JO;Sahab (King Abdallah II Industrial City);Aldar Glass Industries;Transformation complete : trempe, feuillete;aldarglass.com;info@aldarglass.com;;Cite industrielle royale : outil serieux.;ENVOYE 2026-09-23
Kazakhstan;KZ;Almaty;StekloTsentr (steklo.kz);Façonnage et vente de verre;steklo.kz;info@steklo.kz;;Pays enclave : mer via Aktau ou conteneur ferroviaire. Envoi en russe.;ENVOYE 2026-09-25
Kazakhstan;KZ;Almaty;TOO KAZSTEKLO;Fabrication de produits verriers et miroirs, 14 agences;kazsteklo.kz;info@kazsteklo.kz;+7 701 324 8431;Baytursinova 19. RESEAU DE 14 AGENCES dans le pays. Pays enclave : mer via Aktau ou conteneur ferroviaire. Envoi en russe.;ENVOYE 2026-09-25
Kazakhstan;KZ;Pavlodar et Almaty;TOO StekloMir;Vente de verre en feuilles, vitrages isolants, façonnage;steklomir.kz;info@steklomir.kz;+7 718 260 9092;UNE DES PLUS GROSSES SOCIETES DU KAZAKHSTAN sur le verre en feuilles, site a Almaty (Iliyskiy trakt 9). Pays enclave : mer via Aktau ou conteneur ferroviaire. Envoi en russe.;ENVOYE 2026-09-25
Kenya;KE;Nairobi (Athi River);Titan Glass Ltd;Double vitrage, trempé, feuilleté pour l'Afrique de l'Est;titanglass.co.ke;;+254 700 178 144;Transformateur régional.;
Kenya;KE;Nairobi (Industrial Area);Empire Glass Industries Ltd;Transformation de float, créée en 2015;empireglass.biz;info@empireglass.biz;+254 20 651 0000;Jeune et en croissance : bon moment pour entrer.;ENVOYE 2026-09-22
Kenya;KE;Nairobi (Langata);Smart Glass Industries Ltd;Feuillete, anti-effraction, pare-balles, verre d'art, sable;smartglassltd.com;mustafa@smartglassltd.com;+254 722 524 170;Specialiste securite : viser le feuillete PVB et SGP. Port Mombasa.;ENVOYE 2026-09-23
Kenya;KE;Nairobi, zone industrielle;Impala Glass Industries Ltd;Transformation et distribution de verre architectural;impalaglass.com;communications@impala.co.ke;+254 780 727269;Divisions transformation architecturale et négoce, trempé, feuilleté et vitrage isolant. Port Mombasa, envoi en anglais.;ENVOYE 2026-09-23
Kenya;KE;Nairobi;Essajee Amijee & Sons Ltd;Fabricant et distributeur, 80+ références bâtiment;essajee.co.ke;sales@essajee.co.ke;+254 733 604 401;Distributeur : cible conteneur complet.;ENVOYE 2026-09-22
Kenya;KE;Nairobi;Hebatullah Bros Ltd;Transformation verre, uPVC et aluminium, depuis 1930;hebatullah.com;info@hebatullah.com;+254 722 786 606;Maison ancienne, gamme large. sales@ rebondi (groupe inexistant), renvoye sur info@.;ENVOYE 2026-09-22
Kenya;KE;Nairobi;Mufaddal Glass Distributors Ltd;Distributeur, four de trempe jusqu'à 2440 × 3660 mm;mufaddalglass.com;sales@mufaddalglass.com;+254 20 553 999;Four au format 2440 × 3660 — exactement un de vos formats.;ENVOYE 2026-09-22
Kenya;KE;Nairobi;Nairobi Glass and Motor House Ltd;Verre, acier et aluminium depuis 1983;nairobiglass.com;sales@nairobiglass.com;+254 700 193081;Acteur historique du marche kenyan depuis 1983. Port Mombasa, envoi en anglais.;ENVOYE 2026-09-25
Koweït;KW;Amghara, zone industrielle;Kuwait German Glass Factory;Transformation de verre trempé et isolant;kg-glass.com;info@kg-glass.com;;Usine de 12000 m² avec four Glaston jusqu'à 6 metres et ligne IGU Bystronic. Port Shuwaikh, envoi en arabe.;ENVOYE 2026-09-23
Koweït;KW;Koweït;United Glass Company;Double vitrage, trempé, miroir, verre sablé, façonnage;unitedglassco.com;ugc@kuwaitindustries.com;;Transformateur généraliste, un des leaders locaux.;ENVOYE 2026-09-22
Koweït;KW;Safat;Rifai Glass Company;Transformation de verre architectural et de sécurité;rifaiglass.com;info@rifaiglass.net;+965 2206 6622;Fournisseur de grands projets dont The Gate Mall, cibler contrôle solaire. Port Shuwaikh, envoi en arabe.;ENVOYE 2026-09-23
Koweït;KW;Subhan, bloc 11;Kuwait Glass Center Co.;Transformation et distribution de verre plat;kuwaitglass.com;info@kuwaitglass.com;+965 2473 1043;Usines à Subhan et Amghara et activité de gros à Al Rai, cibler float et miroir. Port Shuwaikh, envoi en arabe.;ENVOYE 2026-09-23
La Réunion;RE;—;SOREMIR — Sté Réunionnaise de Miroiterie;Miroiterie;soremir.re;soremir@riouglass.re;+262 262 29 18 17;À qualifier.;ENVOYE 2026-09-22
Lettonie;LV;Riga;SIA Stikla Serviss;Vente et façonnage de verre en feuilles depuis 1994;stikla-serviss.lv;info@stikla-serviss.lv;+371 67472933;PLUS GROSSE SOCIETE DE LETTONIE sur le verre en feuilles, exporte vers la Suede, la Finlande, la Norvege, l'Islande. Port Riga, envoi en anglais.;ENVOYE 2026-09-25
Liban;LB;Beyrouth, Mekalles Jisr El Basha;Horizontal Tempering Glass;Transformation de verre trempé, feuilleté et isolant;htempglass.com;info@htempglass.com;+961 1 683 074;Vitrages de façade pour grands projets et présence commerciale au Nigéria. Port Beyrouth, envoi en arabe.;ENVOYE 2026-09-23
Liban;LB;Beyrouth;EGC — Glass Contracting;Conception, fourniture et pose : trempe, bombe, feuillete;egclb.com;info@egclb.com;;Gamme complete, port de Beyrouth.;ENVOYE 2026-09-23
Liban;LB;Dekwaneh, Mar Roukoz;Glass & Mirrors National Co.;Transformation de verre architectural et miroirs;gmnc-lb.com;info@gmnc-lb.com;+961 1 688100;Machines automatisées, gamme trempé, feuilleté et isolant, couverture nationale. Port Beyrouth, envoi en arabe.;ENVOYE 2026-09-23
Liberia;LR;Monrovia (Sinkor);International Aluminum Factory (IAF);Fenetres, portes, couverture et murs rideaux aluminium et verre;;;+231 77 089 9990;Fabricant aluminium-verre de Monrovia depuis 1982, 5th Street Tubman Blvd. Aucune adresse email publiee : appeler. Port Monrovia.;A APPELER
Libye;LY;Tripoli (Arada, Souk Al Joumaa);North Africa for Importing Glass;Import de verre float toutes categories;;;+218 91 209 1023;CIBLE PRIORITAIRE : importe deja du float de Chine, de Belgique ET DE FRANCE. Aucune adresse email publiee : appeler ou WhatsApp. Second numero +218 91 322 1953. Port Tripoli ou Misrata.;A APPELER
Libye;LY;Tripoli (Sidi Al-Sayah);Desert Glass;Trempe, feuillete et verre architectural;desert-glass.ly;;;PREMIERE USINE DE VERRE DE LIBYE selon son site. Pas d'adresse publiee en recherche : a qualifier. Port Tripoli ou Misrata.;A QUALIFIER
Lituanie;LT;Kaunas;UAB Kauno Stiklas;Transformation de verre plat;kaunostiklas.lt;stiklas@kaunostiklas.lt;+370 37 395 022;Europos pr. 91. Port Klaipeda, envoi en anglais.;ENVOYE 2026-09-25
Lituanie;LT;Kaunas;UAB SKP stiklas;Fabrication de vitrage isolant;skpstiklas.lt;;+370 37 455 530;Un des plus gros fabricants de vitrage isolant des pays baltes. Aucune adresse email publiee : a rappeler.;A APPELER
Lituanie;LT;Panevėžys;AB Panevėžio stiklas;Transformation de verre plat, export vers 12 pays;paneveziostiklas.lt;info@paneveziostiklas.lt;+370 45 507 960;75 % de la production exportee (Pays-Bas, Belgique, Allemagne, Scandinavie) : gros consommateur de float. Port Klaipeda, envoi en anglais.;ENVOYE 2026-09-25
Madagascar;MG;Antananarivo (Zone Forello Tanjombato);Royal Glass Madagascar (RGM);Transformation de verre, toutes techniques de faconnage;;;;Premiere miroiterie du pays a maitriser toute la transformation du verre. Aucune adresse email publiee : a rappeler. Port Toamasina.;A APPELER
Madagascar;MG;Antananarivo et Majunga;ALU Madagascar;Distribution de menuiserie aluminium;alu.mg;alu@alu.mg;+261 20 23 618 70;Distributeur national menuiserie aluminium, deux agences Tana et Majunga. Port Toamasina, envoi en francais.;ENVOYE 2026-09-24
Madagascar;MG;Antananarivo;C.I.C — Comptoir de l'Industrie et du Commerce;Vitrerie, miroiterie, materiaux;;cic.tana@moov.mg;+261 20 22 208 58;Negociant historique de la place, port de Toamasina.;ENVOYE 2026-09-23
Malaisie;MY;Kepong (Kuala Lumpur);Keng Ying Glass Sdn Bhd;Fabrication et negoce de verre;kengying.com.my;sales@kengying.com.my;;Revendeur de Malaysia Sheet Glass (groupe NSG-Pilkington) : profil negoce. Port Port Klang, envoi en anglais.;ENVOYE 2026-09-25
Malaisie;MY;Klang (Selangor);Kong Weng Glass Sdn Bhd;Fabrication de verre plat pour portes, mobilier et electromenager;kwglass.com.my;kongwengglass@gmail.com;+60 3 3392 7141;Trempe, biseaute, serigraphie. A 10 km de Port Klang. Envoi en anglais.;ENVOYE 2026-09-25
Malaisie;MY;Kuala Lumpur (Bandar Sri Damansara);Trex Glass Renovation Sdn Bhd;Renovation et pose de verre;;trexglass88@gmail.com;;Profil poseur-renovateur plutot qu importateur conteneur : qualifier le volume avant envoi. Port Port Klang.;A QUALIFIER
Malaisie;MY;Sungai Buloh (Selangor);Kien Safety Glass Sdn Bhd;Trempe, feuillete, vitrage isolant depuis 2002;ksg.com.my;info@ksg.com.my;+603 6157 7425;Fabricant de reference du verre de securite en Malaisie. Envoi en malais, port Port Klang.;ENVOYE 2026-09-23
Malawi;MW;Blantyre (Ginnery Corner);AGA — Affordable Glass & Aluminium;Fabrication verre et aluminium depuis 2002;;;+265 212 245 346;Fabricant verre-aluminium de Blantyre. Pays enclave : transit via Beira ou Nacala. Aucune adresse email publiee : a rappeler.;A APPELER
Malawi;MW;Blantyre et Lilongwe;PG Glass Malawi;Fourniture et pose de vitrage batiment, deux agences;pgglassafrica.com;raimundo@pgglassmw.com;;CONTACTS NOMINATIFS : Raimundo Geddes a Blantyre et Dida Bashir a Lilongwe (dida@pgglassmw.com), les deux touches. Pays enclave : port Beira ou Nacala. Envoi en anglais, message personnalise.;ENVOYE 2026-09-25
Maldives;MV;Malé;Nalahiya Trading Pvt Ltd;Fourniture de materiaux de construction, aluminium et verre depuis 1985;;;;Un des premiers fournisseurs de materiaux des Maldives. Aucune adresse email publiee : a rappeler. Port Male.;A APPELER
Maldives;MV;Malé;Yes Maldives Pvt Ltd (Yankee Aluminium & Glass);Fabrication de menuiserie aluminium, murs rideaux, bardage et vitrage;yesmaldives.com.mv;info@yesmaldives.com.mv;+960 300 5777;Facadier-menuisier de Male, second contact yankee@yesmaldives.com.mv. Marche hotelier tres consommateur de verre. Port Male, envoi en anglais.;ENVOYE 2026-09-24
Mali;ML;Bamako (Quartier du Fleuve);METALSOUDAN;Menuiserie metallique et aluminium, couverture, vitrerie et materiaux;metalsoudan.com;metalsoudan@metalsoudan.com;+223 20 22 53 72;Negociant multi-materiaux avec activite vitrerie, Avenue de l Yser. Pays enclave, transit via Dakar ou Abidjan. Quartier du Fleuve, Avenue de l Yser, Bamako. Pays enclave : transit par Dakar ou Abidjan. Envoi en francais.;ENVOYE 2026-09-25
Malte;MT;Birkirkara (Mriehel);Bason Aluminium;Menuiserie aluminium et vitrage;basonaluminium.com;info@basonaluminium.com;;Menuisier aluminium de Birkirkara. Port Malta Freeport, envoi en anglais.;ENVOYE 2026-09-25
Malte;MT;Marsa (Marsa Industrial Estate);FloatGlass Ltd;Production verriere, plus de 40 ans;floatglassltd.com;info@floatglassltd.com;+356 2122 7729;Premier fabricant verrier de Malte. Port Malta Freeport, envoi en anglais.;ENVOYE 2026-09-25
Malte;MT;Qormi (Central Business District);F. Zammit Glass Ltd;Import, production, vente et distribution de verre float depuis les annees 1970;fzammitglass.com;info@fzammitglass.com;+356 2123 0659;IMPORTATEUR DE FLOAT DECLARE : float clair, feuillete, teinte, depoli, satine, plus outillage pour vitriers. Deux generations. Cible majeure. Port Malta Freeport, envoi en anglais.;ENVOYE 2026-09-25
Maroc;MA;—;Inalver;Vitrerie, miroiterie, aluminium, façonnage;inalver.com;info@inalver.com;+212 5 28 83 52 22;Transformateur complet.;ENVOYE 2026-09-22
Maroc;MA;Aïn Atiq, Témara;Med Glass Industry;Transformation de verre trempé et isolant;medglass.ma;contact@medglassindustry.ma;+212 537 749800;Usine annonçant 50 collaborateurs et 20 machines, cibler float et vitrage à couches. Port Casablanca, envoi en francais. Domaine medglassindustry.ma introuvable — adresse fournie par ChatGPT, non verifiee. Tel +212 537 749800.;ADRESSE INVALIDE
Maroc;MA;Casablanca;Camiverre;Transformation de verre plat : double vitrage phonique, vitrage decoratif;camiverre.com;contact@camiverre.com;+212 5 22 78 12 36;Transformateur cree en 2016, croissance rapide. Port Casablanca. Envoi en francais.;ENVOYE 2026-09-23
Maroc;MA;Casablanca;Choix Verre (ex-Miroiterie la Corniche);Transformation et pose, familiale depuis 1995;choixverre.ma;;;Ancienneté : relation durable possible.;
Maroc;MA;Fès;El Wifaq Verre;Trempé, feuilleté, double vitrage, miroirs;elwifaqverre.ma;;+212 5 35 60 57 89;Distribue dans tout le Maroc (Casablanca, Rabat, Fes, Tanger). Rte Ain Smen, Resid. Elwifaq. Aucune adresse email publiee : a rappeler.;A APPELER
Maroc;MA;Mohammedia (ZI);Arkiglass;Transformation du verre architectural, verre de sécurité;arkiglass.ma;info.contact@arkiglass.com;+212 5 23 31 00 00;Se présente en leader marocain. Proche de Casablanca. ADRESSE REBONDIE (compte inexistant) : passer par le formulaire du site ou le telephone.;ADRESSE INVALIDE
Martinique;MQ;—;Antilles Miroiterie;Découpe verre, miroir, plexiglas;antilles-miroiterie.com;;;Atelier de découpe.;
Martinique;MQ;Fort-de-France;SAMIR;Miroiterie, découpe, verres spéciaux, vitrages sécurité;samir-martinique.fr;contact@samir-martinique.fr;+596 596 50 00 22;Territoire français : pas de droits de douane UE.;ENVOYE 2026-09-22
Maurice;MU;Pailles, Montebello;AGI (Mauritius) Ltd;Importation et distribution de verre plat;agimauritius.com;info@agimauritius.com;+230 286 2323;Importateur-distributeur de float, feuilleté et miroirs avec dépôt à Montebello. Port Port-Louis, envoi en francais.;ENVOYE 2026-09-23
Maurice;MU;Port-Louis (Roche Bois);Glasslam (Mauritius) Ltd;Verre trempe, feuillete, miroiterie;glasslamltd.com;glasslam1960@gmail.com;+230 216 6831;Transformateur principal de l'ile, a cote du port.;ENVOYE 2026-09-23
Mexique;MX;Guadalajara (Jalisco);Vidrios y Cristales Guadalajara;Trempe, feuillete, bombe, anti-bruit, aluminium;vidriosycristalesguadalajara.com;info@vidriosycristalesguadalajara.com;+52 33 2212 1941;50 ANS, usines au Jalisco, distribution nationale. Port Manzanillo ou Veracruz. Envoi en espagnol. REBOND 24/09 (boite pleine) : renvoye le 25/09.;ENVOYE 2026-09-25
Mexique;MX;Monterrey (Col. Acero);Fortavidrio;Transformation et negoce de verre plat, trempe architectural;fortavidrio.com;contacto@fortavidrio.com;+52 81 8355 3412;Transformateur et distributeur de verre plat a Monterrey. Port Veracruz ou Altamira. Envoi en espagnol.;ENVOYE 2026-09-24
Mexique;MX;Monterrey (Nuevo León);SOLO VIDRIO S.A. de C.V.;Distributeur VITRO, negoce de verre plat;solovidrio.com.mx;ventas@solovidrio.com.mx;+52 81 8370 8185;DISTRIBUTEUR AGREE VITRO : profil negoce pur, bon candidat conteneur. Port Veracruz ou Altamira. Envoi en espagnol.;ENVOYE 2026-09-25
Monténégro;ME;Podgorica;MG Staklo (Staklo MG d.o.o.);Façonnage et design du verre;mgstaklo.me;staklomg@t-com.me;+382 68 148 187;Kralja Nikole 343. Port Bar, envoi en serbo-croate.;ENVOYE 2026-09-25
Mozambique;MZ;Machava (Matlhemele);Vitroglass Mocambique;Transformation, negoce et pose de verre;vitroglass.co.mz;geral@vitroglass.co.mz;+258 21 485 427;Transformateur et negociant verre, zone industrielle CNM Machava. Port Maputo, envoi en portugais.;ENVOYE 2026-09-24
Mozambique;MZ;Maputo (Av. do Trabalho);FDC — Future Development Corporation Lda;Fabrication assemblage et vente alu inox et verre;fdc2000.co.mz;mzfdc2000@gmail.com;+258 84 917 6666;Depuis 2001. 8 agences Maputo Matola Xai-Xai Maxixe Tete Quelimane Beira Nampula. Ports Maputo Beira Nacala. Mini-mail sur mesure PT;ENVOYE 2026-09-25
Mozambique;MZ;Matola (Lingamo);Arte Vidro Mocambique;Transformation de verre plat, double vitrage, miroirs sur mesure;artevidro.co.mz;geral@artevidro.co.mz;+258 878 189 076;Transformateur verre plat de reference a Maputo-Matola. REBOND 24/09 (boite pleine) : renvoye le 25/09. Port Maputo ou Beira, envoi en portugais.;ENVOYE 2026-09-25
Namibie;NA;Windhoek;Africa Glass & Aluminium Namibia;Verre batiment, devantures aluminium, fenetres et portes;;;;Fournisseur verre batiment et aluminium de Windhoek. Aucune adresse email publiee : a rappeler. Port Walvis Bay.;A APPELER
Namibie;NA;Windhoek;PG Glass Namibia;Production, distribution et pose de verre batiment, aluminium et films;pgglassafrica.com;conrad@pgglass.com.na;+264 83 387 5000;Antenne namibienne du groupe PG Glass, coin Tal et Sam Nujoma. REPONSE HUMAINE le 25/09 de Conrad Coertzen, Regional Manager, portable +264 81 241 4755, qui met Willem en copie et annonce un echange prochain. Deux relances envoyees le meme jour : demande d une reference phare pour chiffrer sous 24 h, puis message commercial avec port au choix. Port Walvis Bay.;EN DISCUSSION — REPONSE HUMAINE
Népal;NP;Kathmandu (Thankot);Mirror King Udhyog;Negoce float et teinte en gros miroiterie;mirrorkingudhyog.com;mirrorkingudhyog@gmail.com;+977 980 116 1645;Pays enclave - transit Kolkata ou Haldia puis Birgunj. Achats float et teinte en volume. Mini-mail sur mesure EN;ENVOYE 2026-09-25
Népal;NP;Katmandou;Nepal Glass Udhyog;Transformation de verre trempe et feuillete;;;+977 1 431 4991;Pas d'adresse publiee : appeler. Pays enclave, transit via Kolkata ou Haldia.;A APPELER
Nicaragua;NI;Managua (Bello Horizonte);Vidrio Centro S.A.;Fourniture ET IMPORTATION de verre, aluminium, quincaillerie et accessoires;vidriocentronic.com;;+505 2231 7204;IMPORTATEUR DECLARE, plus de 25 ans sur le marche nicaraguayen. WhatsApp +505 8402 6128. Adresse email masquee en ligne : appeler ou WhatsApp. Port Corinto.;A APPELER
Nigéria;NG;Abuja, Idu Industrial Area 1B;Abumet Nigeria Ltd.;Fabrication de façades aluminium et vitrages isolants;abumet-nigeria.com;info@abumet.com;+234 803 906 7334;Filiale industrielle de Julius Berger avec ligne de vitrage isolant Evonig, cibler Low-E. Port Apapa (Lagos), envoi en anglais.;ENVOYE 2026-09-23
Nigéria;NG;Kaduna, Commercial Layout;Safe Glass Nigeria Ltd;Transformation de verre trempé et feuilleté;safeglassng.com;safeglassnig@gmail.com;+234 813 932 3570;Four de trempe North Glass et équipement de feuilletage, cibler float clair et teinté. Port Apapa (Lagos), envoi en anglais.;ENVOYE 2026-09-23
Nigéria;NG;Lagos (Ago Palace Way);FITglass — Frameless Impression Tempered Glass;Trempé sur mesure, miroir, double vitrage, verre commutable;fitglass.com.ng;;;Gamme large, profil transformateur.;
Nigéria;NG;Lagos (Amuwo Odofin);Crystal Glass Nigeria Ltd;Maison mere de TechnoGlass, depuis 1985;;;;A qualifier, meme groupe que TechnoGlass.;A QUALIFIER
Nigéria;NG;Lagos (Amuwo Odofin);TechnoGlass Industries Ltd;Plus grande ligne de trempe et de feuillete d'Afrique de l'Ouest;technoglassng.com;info@technoglassng.com;+234 703 274 9126;CIBLE PRIORITAIRE : la plus grosse capacite de la sous-region. ADRESSE REBONDIE : rappeler au +234 703 274 9126.;ADRESSE INVALIDE
Nigéria;NG;Lagos Island;Glass Production (City Hall);Production et fourniture de verre;glass.com.ng;orders@glass.com.ng;+234 809 456 0350;Seconde adresse de la societe deja contactee le 22/09 sur info@glass.com.ng. Ne pas renvoyer, garder pour relance si silence. Port Apapa.;DOUBLON
Nigéria;NG;Lagos Island;Glass.com.ng;Plateforme de vente de verre sur mesure : trempe, feuillete;glass.com.ng;info@glass.com.ng;;Distributeur en ligne : achete au volume.;ENVOYE 2026-09-23
Nigéria;NG;Lagos, Apapa;African Industries Group;Production de verre plat et de miroirs;africanindustries.com;stratcomm@africanindustries.com;+234 701 583 1220;Ligne de miroirs annoncée à 2000 tonnes par mois. Cibler Low-E et feuilleté de complément. Port Apapa (Lagos), envoi en anglais.;ENVOYE 2026-09-23
Nigéria;NG;Lagos;Express Tempered Glass Ltd;Trempé, vente en ligne;;;;À qualifier.;
